office,district,candidate,party,county,votes
U.S. Senate,,CHRISTOPHER REED,Republican,Audubon,1406
U.S. Senate,,OVER VOTES,,Audubon,0
U.S. Senate,,UNDER VOTES,,Audubon,103
U.S. Senate,,SCATTERING,,Audubon,1
U.S. Senate,,TOTAL,,Audubon,3468
U.S. Senate,,TOM HARKIN,Democrat,Benton,8519
U.S. Senate,,CHRISTOPHER REED,Republican,Benton,4985
U.S. Senate,,OVER VOTES,,Benton,1
U.S. Senate,,UNDER VOTES,,Benton,198
U.S. Senate,,SCATTERING,,Benton,8
U.S. Senate,,TOTAL,,Benton,13711
U.S. Senate,,TOM HARKIN,Democrat,Black Hawk,42681
U.S. Senate,,CHRISTOPHER REED,Republican,Black Hawk,20043
U.S. Senate,,OVER VOTES,,Black Hawk,31
U.S. Senate,,UNDER VOTES,,Black Hawk,2258
U.S. Senate,,SCATTERING,,Black Hawk,46
U.S. Senate,,TOTAL,,Black Hawk,65059
U.S. Senate,,TOM HARKIN,Democrat,Boone,8365
U.S. Senate,,CHRISTOPHER REED,Republican,Boone,5361
U.S. Senate,,OVER VOTES,,Boone,4
U.S. Senate,,UNDER VOTES,,Boone,273
U.S. Senate,,SCATTERING,,Boone,8
U.S. Senate,,TOTAL,,Boone,14011
U.S. Senate,,TOM HARKIN,Democrat,Bremer,7778
U.S. Senate,,CHRISTOPHER REED,Republican,Bremer,4835
U.S. Senate,,OVER VOTES,,Bremer,2
U.S. Senate,,UNDER VOTES,,Bremer,276
U.S. Senate,,SCATTERING,,Bremer,4
U.S. Senate,,TOTAL,,Bremer,12895
U.S. Senate,,TOM HARKIN,Democrat,Buchanan,6952
U.S. Senate,,CHRISTOPHER REED,Republican,Buchanan,3226
U.S. Senate,,OVER VOTES,,Buchanan,2
U.S. Senate,,UNDER VOTES,,Buchanan,1
U.S. Senate,,SCATTERING,,Buchanan,2
U.S. Senate,,TOTAL,,Buchanan,10183
U.S. Senate,,TOM HARKIN,Democrat,Buena Vista,5071
U.S. Senate,,CHRISTOPHER REED,Republican,Buena Vista,3129
U.S. Senate,,OVER VOTES,,Buena Vista,0
U.S. Senate,,UNDER VOTES,,Buena Vista,296
U.S. Senate,,SCATTERING,,Buena Vista,2
U.S. Senate,,TOTAL,,Buena Vista,8498
U.S. Senate,,TOM HARKIN,Democrat,Butler,4031
U.S. Senate,,CHRISTOPHER REED,Republican,Butler,3030
U.S. Senate,,OVER VOTES,,Butler,1
U.S. Senate,,UNDER VOTES,,Butler,137
U.S. Senate,,SCATTERING,,Butler,5
U.S. Senate,,TOTAL,,Butler,7204
U.S. Senate,,TOM HARKIN,Democrat,Calhoun,2994
U.S. Senate,,CHRISTOPHER REED,Republican,Calhoun,2096
U.S. Senate,,OVER VOTES,,Calhoun,1
U.S. Senate,,UNDER VOTES,,Calhoun,134
U.S. Senate,,SCATTERING,,Calhoun,6
U.S. Senate,,TOTAL,,Calhoun,5231
U.S. Senate,,TOM HARKIN,Democrat,Carroll,5905
U.S. Senate,,CHRISTOPHER REED,Republican,Carroll,4194
U.S. Senate,,OVER VOTES,,Carroll,2
U.S. Senate,,UNDER VOTES,,Carroll,388
U.S. Senate,,SCATTERING,,Carroll,5
U.S. Senate,,TOTAL,,Carroll,10494
U.S. Senate,,TOM HARKIN,Democrat,Cass,3928
U.S. Senate,,CHRISTOPHER REED,Republican,Cass,3230
U.S. Senate,,OVER VOTES,,Cass,2
U.S. Senate,,UNDER VOTES,,Cass,249
U.S. Senate,,SCATTERING,,Cass,3
U.S. Senate,,TOTAL,,Cass,7412
U.S. Senate,,TOM HARKIN,Democrat,Cedar,6123
U.S. Senate,,CHRISTOPHER REED,Republican,Cedar,3343
U.S. Senate,,OVER VOTES,,Cedar,0
U.S. Senate,,UNDER VOTES,,Cedar,240
U.S. Senate,,SCATTERING,,Cedar,4
U.S. Senate,,TOTAL,,Cedar,9710
U.S. Senate,,TOM HARKIN,Democrat,Cerro Gordo,16314
U.S. Senate,,CHRISTOPHER REED,Republican,Cerro Gordo,7449
U.S. Senate,,OVER VOTES,,Cerro Gordo,10
U.S. Senate,,UNDER VOTES,,Cerro Gordo,507
U.S. Senate,,SCATTERING,,Cerro Gordo,13
U.S. Senate,,TOTAL,,Cerro Gordo,24293
U.S. Senate,,TOM HARKIN,Democrat,Cherokee,3883
U.S. Senate,,CHRISTOPHER REED,Republican,Cherokee,2398
U.S. Senate,,OVER VOTES,,Cherokee,0
U.S. Senate,,UNDER VOTES,,Cherokee,0
U.S. Senate,,SCATTERING,,Cherokee,1
U.S. Senate,,TOTAL,,Cherokee,6282
U.S. Senate,,TOM HARKIN,Democrat,Chickasaw,4445
U.S. Senate,,CHRISTOPHER REED,Republican,Chickasaw,2005
U.S. Senate,,OVER VOTES,,Chickasaw,1
U.S. Senate,,UNDER VOTES,,Chickasaw,188
U.S. Senate,,SCATTERING,,Chickasaw,1
U.S. Senate,,TOTAL,,Chickasaw,6640
U.S. Senate,,TOM HARKIN,Democrat,Clarke,2680
U.S. Senate,,CHRISTOPHER REED,Republican,Clarke,1727
U.S. Senate,,OVER VOTES,,Clarke,0
U.S. Senate,,UNDER VOTES,,Clarke,0
U.S. Senate,,SCATTERING,,Clarke,2
U.S. Senate,,TOTAL,,Clarke,4409
U.S. Senate,,TOM HARKIN,Democrat,Clay,4898
U.S. Senate,,CHRISTOPHER REED,Republican,Clay,3297
U.S. Senate,,OVER VOTES,,Clay,2
U.S. Senate,,UNDER VOTES,,Clay,249
U.S. Senate,,SCATTERING,,Clay,6
U.S. Senate,,TOTAL,,Clay,8452
U.S. Senate,,TOM HARKIN,Democrat,Clayton,5907
U.S. Senate,,CHRISTOPHER REED,Republican,Clayton,2916
U.S. Senate,,OVER VOTES,,Clayton,0
U.S. Senate,,UNDER VOTES,,Clayton,0
U.S. Senate,,SCATTERING,,Clayton,18
U.S. Senate,,TOTAL,,Clayton,8841
U.S. Senate,,TOM HARKIN,Democrat,Clinton,17238
U.S. Senate,,CHRISTOPHER REED,Republican,Clinton,7025
U.S. Senate,,OVER VOTES,,Clinton,3
U.S. Senate,,UNDER VOTES,,Clinton,600
U.S. Senate,,SCATTERING,,Clinton,9
U.S. Senate,,TOTAL,,Clinton,24875
U.S. Senate,,TOM HARKIN,Democrat,Crawford,4469
U.S. Senate,,CHRISTOPHER REED,Republican,Crawford,2420
U.S. Senate,,OVER VOTES,,Crawford,3
U.S. Senate,,UNDER VOTES,,Crawford,390
U.S. Senate,,SCATTERING,,Crawford,5
U.S. Senate,,TOTAL,,Crawford,7287
U.S. Senate,,TOM HARKIN,Democrat,Dallas,16765
U.S. Senate,,CHRISTOPHER REED,Republican,Dallas,15248
U.S. Senate,,OVER VOTES,,Dallas,6
U.S. Senate,,UNDER VOTES,,Dallas,723
U.S. Senate,,SCATTERING,,Dallas,17
U.S. Senate,,TOTAL,,Dallas,32759
U.S. Senate,,TOM HARKIN,Democrat,Davis,2236
U.S. Senate,,CHRISTOPHER REED,Republican,Davis,1556
U.S. Senate,,OVER VOTES,,Davis,0
U.S. Senate,,UNDER VOTES,,Davis,0
U.S. Senate,,SCATTERING,,Davis,2
U.S. Senate,,TOTAL,,Davis,3794
U.S. Senate,,TOM HARKIN,Democrat,Decatur,2448
U.S. Senate,,CHRISTOPHER REED,Republican,Decatur,1577
U.S. Senate,,OVER VOTES,,Decatur,0
U.S. Senate,,UNDER VOTES,,Decatur,0
U.S. Senate,,SCATTERING,,Decatur,0
U.S. Senate,,TOTAL,,Decatur,4025
U.S. Senate,,TOM HARKIN,Democrat,Delaware,5513
U.S. Senate,,CHRISTOPHER REED,Republican,Delaware,3234
U.S. Senate,,OVER VOTES,,Delaware,0
U.S. Senate,,UNDER VOTES,,Delaware,0
U.S. Senate,,SCATTERING,,Delaware,1
U.S. Senate,,TOTAL,,Delaware,8748
U.S. Senate,,TOM HARKIN,Democrat,Des Moines,13721
U.S. Senate,,CHRISTOPHER REED,Republican,Des Moines,6343
U.S. Senate,,OVER VOTES,,Des Moines,5
U.S. Senate,,UNDER VOTES,,Des Moines,600
U.S. Senate,,SCATTERING,,Des Moines,24
U.S. Senate,,TOTAL,,Des Moines,20693
U.S. Senate,,TOM HARKIN,Democrat,Dickinson,5843
U.S. Senate,,CHRISTOPHER REED,Republican,Dickinson,3846
U.S. Senate,,OVER VOTES,,Dickinson,1
U.S. Senate,,UNDER VOTES,,Dickinson,176
U.S. Senate,,SCATTERING,,Dickinson,3
U.S. Senate,,TOTAL,,Dickinson,9869
U.S. Senate,,TOM HARKIN,Democrat,Dubuque,32086
U.S. Senate,,CHRISTOPHER REED,Republican,Dubuque,14482
U.S. Senate,,OVER VOTES,,Dubuque,6
U.S. Senate,,UNDER VOTES,,Dubuque,1572
U.S. Senate,,SCATTERING,,Dubuque,27
U.S. Senate,,TOTAL,,Dubuque,48173
U.S. Senate,,TOM HARKIN,Democrat,Emmet,3337
U.S. Senate,,CHRISTOPHER REED,Republican,Emmet,1554
U.S. Senate,,OVER VOTES,,Emmet,0
U.S. Senate,,UNDER VOTES,,Emmet,185
U.S. Senate,,SCATTERING,,Emmet,2
U.S. Senate,,TOTAL,,Emmet,5078
U.S. Senate,,TOM HARKIN,Democrat,Fayette,6810
U.S. Senate,,CHRISTOPHER REED,Republican,Fayette,3326
U.S. Senate,,OVER VOTES,,Fayette,3
U.S. Senate,,UNDER VOTES,,Fayette,193
U.S. Senate,,SCATTERING,,Fayette,3
U.S. Senate,,TOTAL,,Fayette,10335
U.S. Senate,,TOM HARKIN,Democrat,Floyd,5629
U.S. Senate,,CHRISTOPHER REED,Republican,Floyd,2360
U.S. Senate,,OVER VOTES,,Floyd,0
U.S. Senate,,UNDER VOTES,,Floyd,186
U.S. Senate,,SCATTERING,,Floyd,2
U.S. Senate,,TOTAL,,Floyd,8177
U.S. Senate,,TOM HARKIN,Democrat,Franklin,2993
U.S. Senate,,CHRISTOPHER REED,Republican,Franklin,2075
U.S. Senate,,OVER VOTES,,Franklin,2
U.S. Senate,,UNDER VOTES,,Franklin,106
U.S. Senate,,SCATTERING,,Franklin,2
U.S. Senate,,TOTAL,,Franklin,5178
U.S. Senate,,TOM HARKIN,Democrat,Fremont,2260
U.S. Senate,,CHRISTOPHER REED,Republican,Fremont,1537
U.S. Senate,,OVER VOTES,,Fremont,3
U.S. Senate,,UNDER VOTES,,Fremont,137
U.S. Senate,,SCATTERING,,Fremont,4
U.S. Senate,,TOTAL,,Fremont,3941
U.S. Senate,,TOM HARKIN,Democrat,Greene,2743
U.S. Senate,,CHRISTOPHER REED,Republican,Greene,1977
U.S. Senate,,OVER VOTES,,Greene,0
U.S. Senate,,UNDER VOTES,,Greene,135
U.S. Senate,,SCATTERING,,Greene,3
U.S. Senate,,TOTAL,,Greene,4858
U.S. Senate,,TOM HARKIN,Democrat,Grundy,3389
U.S. Senate,,CHRISTOPHER REED,Republican,Grundy,3325
U.S. Senate,,OVER VOTES,,Grundy,2
U.S. Senate,,UNDER VOTES,,Grundy,170
U.S. Senate,,SCATTERING,,Grundy,4
U.S. Senate,,TOTAL,,Grundy,6890
U.S. Senate,,TOM HARKIN,Democrat,Guthrie,3147
U.S. Senate,,CHRISTOPHER REED,Republican,Guthrie,2635
U.S. Senate,,OVER VOTES,,Guthrie,1
U.S. Senate,,UNDER VOTES,,Guthrie,0
U.S. Senate,,SCATTERING,,Guthrie,6
U.S. Senate,,TOTAL,,Guthrie,5789
U.S. Senate,,TOM HARKIN,Democrat,Hamilton,4765
U.S. Senate,,CHRISTOPHER REED,Republican,Hamilton,3178
U.S. Senate,,OVER VOTES,,Hamilton,5
U.S. Senate,,UNDER VOTES,,Hamilton,194
U.S. Senate,,SCATTERING,,Hamilton,2
U.S. Senate,,TOTAL,,Hamilton,8144
U.S. Senate,,TOM HARKIN,Democrat,Hancock,3518
U.S. Senate,,CHRISTOPHER REED,Republican,Hancock,2326
U.S. Senate,,OVER VOTES,,Hancock,1
U.S. Senate,,UNDER VOTES,,Hancock,136
U.S. Senate,,SCATTERING,,Hancock,2
U.S. Senate,,TOTAL,,Hancock,5983
U.S. Senate,,TOM HARKIN,Democrat,Hardin,5131
U.S. Senate,,CHRISTOPHER REED,Republican,Hardin,3611
U.S. Senate,,OVER VOTES,,Hardin,0
U.S. Senate,,UNDER VOTES,,Hardin,197
U.S. Senate,,SCATTERING,,Hardin,7
U.S. Senate,,TOTAL,,Hardin,8946
U.S. Senate,,TOM HARKIN,Democrat,Harrison,4422
U.S. Senate,,CHRISTOPHER REED,Republican,Harrison,2928
U.S. Senate,,OVER VOTES,,Harrison,0
U.S. Senate,,UNDER VOTES,,Harrison,277
U.S. Senate,,SCATTERING,,Harrison,9
U.S. Senate,,TOTAL,,Harrison,7636
U.S. Senate,,TOM HARKIN,Democrat,Henry,5193
U.S. Senate,,CHRISTOPHER REED,Republican,Henry,3950
U.S. Senate,,OVER VOTES,,Henry,2
U.S. Senate,,UNDER VOTES,,Henry,270
U.S. Senate,,SCATTERING,,Henry,7
U.S. Senate,,TOTAL,,Henry,9422
U.S. Senate,,TOM HARKIN,Democrat,Howard,3361
U.S. Senate,,CHRISTOPHER REED,Republican,Howard,1281
U.S. Senate,,OVER VOTES,,Howard,0
U.S. Senate,,UNDER VOTES,,Howard,0
U.S. Senate,,SCATTERING,,Howard,0
U.S. Senate,,TOTAL,,Howard,4642
U.S. Senate,,TOM HARKIN,Democrat,Humboldt,2777
U.S. Senate,,CHRISTOPHER REED,Republican,Humboldt,2275
U.S. Senate,,OVER VOTES,,Humboldt,2
U.S. Senate,,UNDER VOTES,,Humboldt,0
U.S. Senate,,SCATTERING,,Humboldt,4
U.S. Senate,,TOTAL,,Humboldt,5058
U.S. Senate,,TOM HARKIN,Democrat,Ida,1987
U.S. Senate,,CHRISTOPHER REED,Republican,Ida,1447
U.S. Senate,,OVER VOTES,,Ida,0
U.S. Senate,,UNDER VOTES,,Ida,0
U.S. Senate,,SCATTERING,,Ida,2
U.S. Senate,,TOTAL,,Ida,3436
U.S. Senate,,TOM HARKIN,Democrat,Iowa,5051
U.S. Senate,,CHRISTOPHER REED,Republican,Iowa,3318
U.S. Senate,,OVER VOTES,,Iowa,2
U.S. Senate,,UNDER VOTES,,Iowa,0
U.S. Senate,,SCATTERING,,Iowa,6
U.S. Senate,,TOTAL,,Iowa,8377
U.S. Senate,,TOM HARKIN,Democrat,Jackson,6871
U.S. Senate,,CHRISTOPHER REED,Republican,Jackson,2813
U.S. Senate,,OVER VOTES,,Jackson,0
U.S. Senate,,UNDER VOTES,,Jackson,0
U.S. Senate,,SCATTERING,,Jackson,2
U.S. Senate,,TOTAL,,Jackson,9686
U.S. Senate,,TOM HARKIN,Democrat,Jasper,11368
U.S. Senate,,CHRISTOPHER REED,Republican,Jasper,7759
U.S. Senate,,OVER VOTES,,Jasper,5
U.S. Senate,,UNDER VOTES,,Jasper,428
U.S. Senate,,SCATTERING,,Jasper,11
U.S. Senate,,TOTAL,,Jasper,19571
U.S. Senate,,TOM HARKIN,Democrat,Jefferson,5690
U.S. Senate,,CHRISTOPHER REED,Republican,Jefferson,2700
U.S. Senate,,OVER VOTES,,Jefferson,11
U.S. Senate,,UNDER VOTES,,Jefferson,162
U.S. Senate,,SCATTERING,,Jefferson,10
U.S. Senate,,TOTAL,,Jefferson,8573
U.S. Senate,,TOM HARKIN,Democrat,Johnson,52741
U.S. Senate,,CHRISTOPHER REED,Republican,Johnson,17537
U.S. Senate,,OVER VOTES,,Johnson,18
U.S. Senate,,UNDER VOTES,,Johnson,2800
U.S. Senate,,SCATTERING,,Johnson,135
U.S. Senate,,TOTAL,,Johnson,73231
U.S. Senate,,TOM HARKIN,Democrat,Jones,6306
U.S. Senate,,CHRISTOPHER REED,Republican,Jones,3543
U.S. Senate,,OVER VOTES,,Jones,1
U.S. Senate,,UNDER VOTES,,Jones,223
U.S. Senate,,SCATTERING,,Jones,7
U.S. Senate,,TOTAL,,Jones,10080
U.S. Senate,,TOM HARKIN,Democrat,Keokuk,3170
U.S. Senate,,CHRISTOPHER REED,Republican,Keokuk,2035
U.S. Senate,,OVER VOTES,,Keokuk,1
U.S. Senate,,UNDER VOTES,,Keokuk,0
U.S. Senate,,SCATTERING,,Keokuk,1
U.S. Senate,,TOTAL,,Keokuk,5207
U.S. Senate,,TOM HARKIN,Democrat,Kossuth,5880
U.S. Senate,,CHRISTOPHER REED,Republican,Kossuth,3100
U.S. Senate,,OVER VOTES,,Kossuth,2
U.S. Senate,,UNDER VOTES,,Kossuth,219
U.S. Senate,,SCATTERING,,Kossuth,2
U.S. Senate,,TOTAL,,Kossuth,9203
U.S. Senate,,TOM HARKIN,Democrat,Lee,11473
U.S. Senate,,CHRISTOPHER REED,Republican,Lee,5327
U.S. Senate,,OVER VOTES,,Lee,4
U.S. Senate,,UNDER VOTES,,Lee,535
U.S. Senate,,SCATTERING,,Lee,13
U.S. Senate,,TOTAL,,Lee,17352
U.S. Senate,,TOM HARKIN,Democrat,Linn,74373
U.S. Senate,,CHRISTOPHER REED,Republican,Linn,36662
U.S. Senate,,OVER VOTES,,Linn,21
U.S. Senate,,UNDER VOTES,,Linn,2524
U.S. Senate,,SCATTERING,,Linn,141
U.S. Senate,,TOTAL,,Linn,113721
U.S. Senate,,TOM HARKIN,Democrat,Louisa,3167
U.S. Senate,,CHRISTOPHER REED,Republican,Louisa,1656
U.S. Senate,,OVER VOTES,,Louisa,4
U.S. Senate,,UNDER VOTES,,Louisa,140
U.S. Senate,,SCATTERING,,Louisa,2
U.S. Senate,,TOTAL,,Louisa,4969
U.S. Senate,,TOM HARKIN,Democrat,Lucas,2360
U.S. Senate,,CHRISTOPHER REED,Republican,Lucas,2039
U.S. Senate,,OVER VOTES,,Lucas,0
U.S. Senate,,UNDER VOTES,,Lucas,0
U.S. Senate,,SCATTERING,,Lucas,1
U.S. Senate,,TOTAL,,Lucas,4400
U.S. Senate,,TOM HARKIN,Democrat,Lyon,2318
U.S. Senate,,CHRISTOPHER REED,Republican,Lyon,3614
U.S. Senate,,OVER VOTES,,Lyon,3
U.S. Senate,,UNDER VOTES,,Lyon,316
U.S. Senate,,SCATTERING,,Lyon,6
U.S. Senate,,TOTAL,,Lyon,6257
U.S. Senate,,TOM HARKIN,Democrat,Madison,4386
U.S. Senate,,CHRISTOPHER REED,Republican,Madison,3953
U.S. Senate,,OVER VOTES,,Madison,3
U.S. Senate,,UNDER VOTES,,Madison,187
U.S. Senate,,SCATTERING,,Madison,9
U.S. Senate,,TOTAL,,Madison,8538
U.S. Senate,,TOM HARKIN,Democrat,Mahaska,5490
U.S. Senate,,CHRISTOPHER REED,Republican,Mahaska,5248
U.S. Senate,,OVER VOTES,,Mahaska,1
U.S. Senate,,UNDER VOTES,,Mahaska,0
U.S. Senate,,SCATTERING,,Mahaska,5
U.S. Senate,,TOTAL,,Mahaska,10744
U.S. Senate,,TOM HARKIN,Democrat,Marion,8609
U.S. Senate,,CHRISTOPHER REED,Republican,Marion,8168
U.S. Senate,,OVER VOTES,,Marion,6
U.S. Senate,,UNDER VOTES,,Marion,322
U.S. Senate,,SCATTERING,,Marion,10
U.S. Senate,,TOTAL,,Marion,17115
U.S. Senate,,TOM HARKIN,Democrat,Marshall,11023
U.S. Senate,,CHRISTOPHER REED,Republican,Marshall,7327
U.S. Senate,,OVER VOTES,,Marshall,4
U.S. Senate,,UNDER VOTES,,Marshall,401
U.S. Senate,,SCATTERING,,Marshall,10
U.S. Senate,,TOTAL,,Marshall,18765
U.S. Senate,,TOM HARKIN,Democrat,Mills,3715
U.S. Senate,,CHRISTOPHER REED,Republican,Mills,3303
U.S. Senate,,OVER VOTES,,Mills,1
U.S. Senate,,UNDER VOTES,,Mills,340
U.S. Senate,,SCATTERING,,Mills,6
U.S. Senate,,TOTAL,,Mills,7365
U.S. Senate,,TOM HARKIN,Democrat,Mitchell,3881
U.S. Senate,,CHRISTOPHER REED,Republican,Mitchell,1761
U.S. Senate,,OVER VOTES,,Mitchell,0
U.S. Senate,,UNDER VOTES,,Mitchell,0
U.S. Senate,,SCATTERING,,Mitchell,3
U.S. Senate,,TOTAL,,Mitchell,5645
U.S. Senate,,TOM HARKIN,Democrat,Monona,3026
U.S. Senate,,CHRISTOPHER REED,Republican,Monona,1671
U.S. Senate,,OVER VOTES,,Monona,0
U.S. Senate,,UNDER VOTES,,Monona,0
U.S. Senate,,SCATTERING,,Monona,4
U.S. Senate,,TOTAL,,Monona,4701
U.S. Senate,,TOM HARKIN,Democrat,Monroe,2260
U.S. Senate,,CHRISTOPHER REED,Republican,Monroe,1549
U.S. Senate,,OVER VOTES,,Monroe,1
U.S. Senate,,UNDER VOTES,,Monroe,97
U.S. Senate,,SCATTERING,,Monroe,1
U.S. Senate,,TOTAL,,Monroe,3908
U.S. Senate,,TOM HARKIN,Democrat,Montgomery,2812
U.S. Senate,,CHRISTOPHER REED,Republican,Montgomery,2343
U.S. Senate,,OVER VOTES,,Montgomery,0
U.S. Senate,,UNDER VOTES,,Montgomery,0
U.S. Senate,,SCATTERING,,Montgomery,1
U.S. Senate,,TOTAL,,Montgomery,5156
U.S. Senate,,TOM HARKIN,Democrat,Muscatine,12348
U.S. Senate,,CHRISTOPHER REED,Republican,Muscatine,6242
U.S. Senate,,OVER VOTES,,Muscatine,3
U.S. Senate,,UNDER VOTES,,Muscatine,626
U.S. Senate,,SCATTERING,,Muscatine,17
U.S. Senate,,TOTAL,,Muscatine,19236
U.S. Senate,,TOM HARKIN,Democrat,O'Brien,3259
U.S. Senate,,CHRISTOPHER REED,Republican,O'Brien,3881
U.S. Senate,,OVER VOTES,,O'Brien,1
U.S. Senate,,UNDER VOTES,,O'Brien,210
U.S. Senate,,SCATTERING,,O'Brien,3
U.S. Senate,,TOTAL,,O'Brien,7354
U.S. Senate,,TOM HARKIN,Democrat,Osceola,1465
U.S. Senate,,CHRISTOPHER REED,Republican,Osceola,1570
U.S. Senate,,OVER VOTES,,Osceola,0
U.S. Senate,,UNDER VOTES,,Osceola,114
U.S. Senate,,SCATTERING,,Osceola,3
U.S. Senate,,TOTAL,,Osceola,3152
U.S. Senate,,TOM HARKIN,Democrat,Van Buren,2022
U.S. Senate,,CHRISTOPHER REED,Republican,Van Buren,1492
U.S. Senate,,OVER VOTES,,Van Buren,2
U.S. Senate,,UNDER VOTES,,Van Buren,119
U.S. Senate,,SCATTERING,,Van Buren,5
U.S. Senate,,TOTAL,,Van Buren,3640
U.S. Senate,,TOM HARKIN,Democrat,Wapello,10184
U.S. Senate,,CHRISTOPHER REED,Republican,Wapello,5336
U.S. Senate,,OVER VOTES,,Wapello,4
U.S. Senate,,UNDER VOTES,,Wapello,533
U.S. Senate,,SCATTERING,,Wapello,16
U.S. Senate,,TOTAL,,Wapello,16073
U.S. Senate,,TOM HARKIN,Democrat,Warren,13979
U.S. Senate,,CHRISTOPHER REED,Republican,Warren,10471
U.S. Senate,,OVER VOTES,,Warren,3
U.S. Senate,,UNDER VOTES,,Warren,0
U.S. Senate,,SCATTERING,,Warren,17
U.S. Senate,,TOTAL,,Warren,24470
U.S. Senate,,TOM HARKIN,Democrat,Washington,6122
U.S. Senate,,CHRISTOPHER REED,Republican,Washington,4209
U.S. Senate,,OVER VOTES,,Washington,2
U.S. Senate,,UNDER VOTES,,Washington,0
U.S. Senate,,SCATTERING,,Washington,6
U.S. Senate,,TOTAL,,Washington,10339
U.S. Senate,,TOM HARKIN,Democrat,Wayne,1596
U.S. Senate,,CHRISTOPHER REED,Republican,Wayne,1340
U.S. Senate,,OVER VOTES,,Wayne,0
U.S. Senate,,UNDER VOTES,,Wayne,0
U.S. Senate,,SCATTERING,,Wayne,1
U.S. Senate,,TOTAL,,Wayne,2937
U.S. Senate,,TOM HARKIN,Democrat,Webster,11773
U.S. Senate,,CHRISTOPHER REED,Republican,Webster,6460
U.S. Senate,,OVER VOTES,,Webster,3
U.S. Senate,,UNDER VOTES,,Webster,460
U.S. Senate,,SCATTERING,,Webster,11
U.S. Senate,,TOTAL,,Webster,18707
U.S. Senate,,TOM HARKIN,Democrat,Winnebago,3912
U.S. Senate,,CHRISTOPHER REED,Republican,Winnebago,2055
U.S. Senate,,OVER VOTES,,Winnebago,0
U.S. Senate,,UNDER VOTES,,Winnebago,155
U.S. Senate,,SCATTERING,,Winnebago,0
U.S. Senate,,TOTAL,,Winnebago,6122
U.S. Senate,,TOM HARKIN,Democrat,Winneshiek,7612
